Sample,Strain Start (%),Strain End (%),log(K) Value,K Value,n Value:
PLA,1.05,4.58,-1.995059716029321,0.010114403703939852,0.03156872523693435
PETG,0.0,4.1000000000000005,14.306113736917164,202354905438757.56,12.128384731383932
TPU,0.0,100.0,4.149541218647077,14110.461517064197,7.539177890764567
