True Strain (unitless),True Stress (Pa)
0.00017898398141145229,11899.565538461538
0.00023997120460718868,49755.528205128205
0.00029995500899794244,94387.28205128205
0.00035993521554771816,145180.45128205128
0.0004169130796629039,206752.84666666665
0.00047288817076204245,274488.74615384615
0.0005348569385229381,359166.41025641025
0.00059582246253809,443854.12307692313
0.0006517875403442115,525983.7435897436
0.0007067501932353339,605556.0307692308
0.0007617098253992699,685137.0615384615
0.0008176656203359375,762161.3999999999
0.0008766156601942748,834064.1666666667
0.0009355622251502574,911108.4102564103
0.0009945053156135283,985595.076923077
0.0010594385966900424,1047262.7692307692
0.0011193732679163155,1111499.8974358975
0.0011793043471930548,1183446.1025641025
0.0012392318349507736,1257968.205128205
0.00128916866487142,1311946.641025641
0.001339103001229382,1368497.9999999998
0.0014090068834198893,1443057.4871794872
0.0014689206076750811,1512476.4871794872
0.0014988761237359487,1553608.9743589745
0.0015787531132145452,1635914.0
0.0016386566685086348,1713061.230769231
0.0016686071005458302,1746501.5384615385
0.001748470534116803,1828835.8974358975
0.0018083639239010942,1898301.5128205132
0.001878235011772464,1978070.7692307695
0.0019081782693016623,2021803.0000000002
0.0019580817061615984,2060440.8205128205
0.0020279423342370716,2129956.076923077
0.00209779808214612,2212328.4615384615
0.0021476920574590576,2268970.3846153845
0.0021975835434872013,2328187.692307692
0.0022674274424015982,2405448.0
0.0023372664634864642,2487859.282051282
0.0023871484924981026,2549668.9230769225
0.002427052324268883,2596036.6666666665
0.002496880198587146,2673333.333333333
0.0025567287816897545,2750613.333333333
0.002596625847265914,2776430.7692307695
0.0026464949409055775,2853696.153846154
0.00270633457071554,2905287.948717949
0.002766170619958465,2956885.8974358975
0.0028260030890630426,3034203.58974359
0.0028858319784572217,3085815.384615385
0.002945657288569538,3163150.0
0.0030054790198282295,3214775.6410256405
0.0030652971726614566,3292127.179487179
0.003105173953414271,3343700.0
0.0031649861431563174,3395344.615384615
0.0032247947556145076,3472719.230769231
0.003284599791216278,3524377.6923076925
0.0033344345888722798,3576006.666666666
0.003394233068015617,3653405.1282051285
0.003454027971514442,3705083.076923077
0.003503854326676929,3756729.743589743
0.0035636426759385865,3834152.0512820515
0.003623427450767024,3885849.4871794875
0.003683208651589831,3937553.0769230765
0.003742986278834297,4014999.9999999995
0.0037927982386962624,4066676.9230769235
0.003852569315489954,4118400.0
0.003912336819915548,4170129.2307692305
0.003972100752400264,4247607.692307693
0.004021901301212488,4299307.948717949
0.0040816586862470515,4351056.666666666
0.004141412500550146,4428558.974358975
0.004191204618468052,4480276.923076923
0.004250951887537686,4532045.128205128
0.004310695587084646,4583819.487179488
0.004360479276962338,4661306.923076923
0.004420216433491402,4713094.615384615
0.004479950021705976,4764888.461538462
0.004539680042031891,4842446.153846155
0.004599406494895561,4894253.846153846
0.004649175814111422,4946018.461538462
0.0047088957277343114,5023600.0
0.004778564452974124,5075477.692307692
0.004838276640249235,5153076.923076923
0.004878082784332869,5179048.461538462
0.004937789029623811,5256661.538461539
0.004987541511038968,5308461.538461538
0.005057190826762611,5386144.358974358
0.005116886379461834,5438011.025641026
0.005166629951358898,5489829.230769231
0.005216371048956318,5541652.564102565
0.005276057100343781,5619313.333333334
0.005335739589519127,5671205.128205128
0.005395418516907535,5723103.076923076
0.005445148235895246,5800730.769230769
0.005494875481960764,5852583.846153846
0.005554544913328957,5904500.76923077
0.005614210784468326,5956423.846153846
0.005673873095803913,6034140.0
0.005733531847760467,6086076.923076922
0.0057931870407628774,6163810.0
0.0058428969832585945,6215698.974358975
0.005902545652613831,6267655.384615384
0.005952250159331792,6319555.128205128
0.006011892306466717,6397318.974358974
0.0060715308966280725,6449294.871794871
0.006131165930240318,6527075.641025642
0.006180859075081099,6579000.0
0.006230549750636163,6630929.487179488
0.006290175302190128,6682930.512820513
0.006349797298749664,6760742.051282051
0.006399479580567827,6812689.230769231
0.006459095060738445,6890516.923076923
0.0065286419627003925,6942614.102564104
0.006588249743520312,7020459.487179487
0.006627986290220989,7072361.538461539
0.006687588149816602,7124409.230769231
0.006747186457242262,7176463.076923076
0.00680678121292135,7254339.23076923
0.006866372417277395,7306406.923076924
0.006925960070733183,7384300.0
0.0069855441737120905,7436381.538461539
0.007035194880996721,7488394.871794872
0.007094772475866788,7566311.794871795
0.007154346521458501,7618412.82051282
0.007203988848502523,7696270.256410257
0.007263556388182139,7748384.615384615
0.007313193294224588,7800427.692307692
0.007372754329413157,7878384.615384616
0.007432311817295873,7930518.461538462
0.007491865758295468,8008492.307692308
0.00755141615283438,8060639.999999999
0.007601038772819757,8138550.0
0.0076506589305226835,8164791.794871795
0.0077101998698979966,8216956.923076924
0.007769737264360694,8294969.230769231
0.00782927111433308,8347148.205128205
0.007888801420237165,8425177.435897436
0.007938407301520727,8503131.538461538
0.00799793111106206,8555331.53846154
0.008057451377730375,8633386.153846154
0.008107048893897038,8685513.846153848
0.00815664395027187,8763497.692307692
0.008216154771340564,8815724.35897436
0.00827566205108196,8893811.282051282
0.008335165789917722,8971907.435897436
0.008394665988269219,9024155.64102564
0.008444246782662968,9076320.0
0.008503740491220787,9154440.000000002
0.008563230660487814,9206707.692307692
0.008612803098222696,9258889.743589744
0.00867228677988352,9337033.58974359
0.008721853811869466,9389227.692307694
0.008781331007338926,9467387.692307692
0.008840804665481993,9519688.205128206
0.008900274786719401,9597865.128205128
0.008949830519584602,9650083.846153846
0.009009294157587446,9702403.846153846
0.009058844488346146,9780507.692307694
0.009118301644527831,9832841.025641026
0.009177755265766273,9911057.948717948
0.009237205352481775,9963405.128205128
0.009296651905094568,10041638.974358972
0.009356094924025029,10094000.0
0.009405628074095718,10172150.0
0.009465064615698933,10224524.358974358
0.009514592368585486,10302689.230769232
0.00957402243427315,10355076.923076922
0.009633448968237996,10433360.0
0.009692871970899974,10511652.307692308
0.009742388442564273,10563956.923076924
0.009801804972260257,10642265.384615384
0.00986121797184221,10694687.94871795
0.009910726108514466,10747010.256410258
0.009950330853168092,10825128.205128206
0.010049335853001438,10878000.0
0.010049335853001438,10955700.0
0.010148331051815136,11034492.307692308
0.010148331051815136,11086297.435897436
0.010247316451549499,11139205.128205128
0.010346292054144267,11218030.769230768
0.010346292054144267,11295753.846153846
0.010445257861538604,11348692.307692306
0.010445257861538604,11426423.076923076
0.010544213875671097,11479379.487179488
0.010544213875671097,11557117.948717948
0.01064316009847976,11610092.307692308
0.010742096531902029,11688994.87179487
0.010742096531902029,11740830.769230768
0.010841023177874769,11819753.846153844
0.010841023177874769,11871594.871794872
0.010939940038334263,11950538.46153846
0.011038847115216448,12003571.794871796
0.011038847115216448,12081348.717948718
0.011137744410456021,12134400.000000002
0.011137744410456021,12212184.615384618
0.011236631925987768,12265253.846153848
0.011236631925987768,12343046.153846156
0.011335509663745679,12396133.333333334
0.011335509663745679,12473933.333333336
0.01143437762566317,12527038.461538462
0.011533235813673085,12606092.307692308
0.011533235813673085,12657969.230769232
0.011632084229707696,12737043.58974359
0.011632084229707696,12788925.641025642
0.011730922875698699,12868020.512820514
0.011829751753577221,12947130.76923077
0.011829751753577221,13024969.230769232
0.011928570865273812,13078153.846153848
0.011928570865273812,13130051.282051282
0.012027380212718455,13209202.564102564
0.012027380212718455,13261105.128205128
0.012126179797840555,13340276.923076924
0.012126179797840555,13418138.46153846
0.012224969622568948,13471376.923076924
0.012323749688831903,13550584.615384614
0.012323749688831903,13602502.564102564
0.01242251999855711,13681730.76923077
0.01242251999855711,13733653.846153846
0.012521280553671691,13812902.564102564
0.012620031356102198,13892166.666666666
0.012620031356102198,13944100.0
0.012718772407774612,14023384.615384614
0.012718772407774612,14075323.076923076
0.012817503710614343,14154628.205128204
0.012817503710614343,14206571.794871794
0.01291622526654623,14285897.435897434
0.01291622526654623,14363820.512820512
0.013014937077494763,14417192.30769231
0.013113639145383204,14496553.846153848
0.013113639145383204,14548512.820512824
0.0132123314721349,14627894.871794874
0.0132123314721349,14679858.974358976
0.013311014059672416,14759261.53846154
0.013311014059672416,14837215.384615386
0.01340968690991774,14890653.846153846
0.013508350024792299,14970092.30769231
0.013508350024792299,15022071.794871796
0.013607003406216947,15101530.76923077
0.013607003406216947,15179507.692307692
0.013705647056111967,15232994.871794872
0.013705647056111967,15310979.487179488
