True Strain (unitless),True Stress (Pa)
0.0,0.0
0.0,8538.461538461539
0.0,8538.461538461539
0.0,8538.461538461539
5.999820007194575e-05,8538.973846153845
0.00016998555163746137,8539.913076923078
0.00026996355655966415,8540.766923076924
0.0003699315668796308,17108.892051282055
0.00047988483685076997,25653.333333333332
0.0005798318650090802,34122.34358974359
0.0006897620594464428,42850.05897435898
0.000829655740477208,51324.61538461539
0.0008995952428359939,59797.35897435898
0.0009695298540030972,59801.541025641025
0.0010394595746623752,59805.72307692308
0.0011093844054977636,59809.90512820513
0.0011793043471930548,68542.32307692307
0.0012392318349507736,68546.43076923075
0.0013091426986281101,77023.84615384614
0.0013690624062380357,85501.59230769232
0.0014389641942543904,85507.56923076925
0.0015088610963520878,94244.65897435897
0.0015787531132145452,94251.24615384615
0.0016486402455243704,102733.33333333333
0.0016785903785550913,102736.41025641025
0.001748470534116803,102743.58974358974
0.001828327590029314,111228.81794871796
0.0018981972830802655,111236.58974358975
0.0019680620946982723,111244.36153846154
0.0020379220255653673,119987.86666666668
0.00209779808214612,119995.05128205128
0.0021676489505705098,120003.43333333333
0.0022674274424015982,128496.15384615384
0.002367195979478517,136990.56666666665
0.00246695456378741,137004.2333333333
0.002606599864949995,145764.0692307692
0.0026764152034082205,154258.46153846153
0.0027362530428811007,154267.6923076923
0.002806059330461505,162763.77692307692
0.002875860745464258,162775.13846153847
0.002945657288569538,171530.1666666667
0.0030154489604573807,180029.23076923078
0.003115142900145352,180047.1794871795
0.0032148269019424513,188553.91282051284
0.00331450096782978,197319.59999999998
0.0034141650997878445,197339.26666666666
0.0035237841736164943,205852.3076923077
0.003623427450767024,205872.8205128205
0.0037230608001241026,214386.43333333335
0.0038326460201763414,223161.35384615386
0.003932258527605121,231678.46153846156
0.004041820826331798,231703.84615384619
0.004141412500550146,240223.57692307697
0.004240994257254614,249002.5
0.004380392058977681,257535.8974358974
0.004450083673611274,257553.84615384613
0.00455958925601669,265309.5128205128
0.004669082848262505,265338.5641025641
0.004768612075102093,275670.41025641025
0.004868131396860523,275697.8461538462
0.004967640815509092,283455.89743589744
0.00507708974028272,283486.9230769231
0.005176578368814539,291247.358974359
0.005286004429237438,301590.0
0.005385472276337888,301620.0
0.005484930230569745,309384.6153846154
0.0055843782939006634,317150.7692307693
0.005693759741921831,317185.4615384616
0.0057931870407628774,327533.0
0.005902545652613831,335306.6666666666
0.006001952195634335,335339.99999999994
0.0061411047567629965,343126.358974359
0.006210673776712656,353470.53846153844
0.0063199867448177054,353509.17948717944
0.006419351802183406,361286.1538461539
0.0065286419627003925,361325.64102564106
0.006627986290220989,369105.00000000006
0.006737253652665299,379471.076923077
0.006836577258988437,379508.76923076925
0.0069060979140996535,387280.7692307693
0.007045124726637196,395081.3076923077
0.007144417760319526,395120.53846153844
0.00725362871130802,395163.6923076923
0.007352901045182832,405535.0256410256
0.007452163525039594,405575.282051282
0.0075613408738258074,405619.5641025641
0.007660582666610992,413411.28205128206
0.007759814611440062,421204.5384615385
0.00789872279335535,431600.7948717949
0.007968169649176881,431630.7692307692
0.008077290679387738,439432.5641025641
0.008176481284134979,439476.1538461539
0.00827566205108196,447275.97435897443
0.0083847495343932,447324.7692307693
0.00848390964831025,457712.92307692306
0.008592974418018871,465521.53846153844
0.008702027293900905,473331.8461538462
0.008801155953068695,473378.76923076925
0.008900274786719401,483773.7948717949
0.009009294157587446,483826.5384615385
0.009108392363990999,491637.1794871795
0.009207480750913126,491685.89743589744
0.009306559320299624,491734.6153846154
