Sample,Elastic Modulus (GPa),Yield Strength (MPa),Strain at Yield (%),Modulus of Resilience (kJ/m³),Ultimate Tensile Strength (MPa),Strain at Peak (%),Fracture Strength (MPa),Percent Elongation (%),Tensile Toughness (MPa),True Stress at Yield (MPa),True Strain at Yield (MPa),Percent Difference in Stress (%),Percent Difference in Strain (%)
PLA,1.0960982591207404,38.46153846153847,4.584756970091354,726.2112152427476,39.743589743589745,5.204999999999999,33.07692307692307,8.88,2.296605263761194,40.224906526958215,4.482762816016874,4.383771691894329,2.2752520769123987
PETG,1.124582084341708,44.615384615384606,4.193271912673306,741.5324686362009,46.15384615384615,4.644782608695652,37.94871794871795,5.66,1.231036742140474,46.4862290071927,4.10773722702453,4.024513133811352,2.082282310709878
TPU,0.034610935021181476,4.641025641025641,12.501146044767452,286.5497914216617,46.666666666666664,661.885593220339,45.12820512820513,666.0,95.04226808167807,5.221207034385361,11.779322266909514,11.112016618739935,6.127888867474885
