True Strain (unitless),True Stress (Pa)
0.0,8538.461538461539
2.2799740083940214e-05,3897.524758974359
8.579631939044309e-05,16898.885697435897
0.00017998380194380657,39237.83076923077
0.00026696436184346796,62580.80717948718
0.00036093485517777135,99010.08871794872
0.00044789967796173436,136214.84307692308
0.0005408537122586368,178558.08615384615
0.0006407946472492813,222706.76615384614
0.0007377278119082139,264297.4717948718
0.0008176656203359375,300245.4
0.000910585291347383,328504.12307692313
0.0009945053156135283,367031.50000000006
0.0010894063813237807,395302.2051282051
0.0011793043471930548,423576.1538461538
0.0012691942321447361,454422.5384615385
0.0013590760376310355,480139.28205128206
0.0014489497651044385,503292.82051282056
0.0015388154160170385,523882.46153846156
0.0016186892154563147,531629.0769230769
0.001718522493964251,536819.1794871794
0.0018083639239010942,544573.6410256411
0.0018882161972377885,552323.9743589743
0.001978042383627785,557511.9487179487
0.0020878189883474793,565281.5384615385
0.0021676489505705098,565326.6666666667
0.0022674274424015982,565383.076923077
0.002347243068348212,565428.2051282052
0.002447003643051847,565484.6153846155
0.002536779651969968,565535.3846153846
0.002606599864949995,565574.8717948719
0.002696361547742533,565625.641025641
0.002796087302001188,565682.0512820513
0.002875860745464258,565727.1794871795
0.002975568601528825,565783.5897435897
0.0030652971726614566,565834.358974359
0.0031450491440728496,565879.4871794872
0.0032347625099292255,565930.2564102564
0.00331450096782978,573693.2307692309
0.0034141650997878445,573750.4102564104
0.003503854326676929,573801.8717948719
0.003583571331352775,573847.6153846155
0.0036732453662959904,576472.6153846154
0.003762911360527922,584245.6153846154
0.003852569315489954,584297.9999999999
0.003932258527605121,584344.5641025641
0.004031861113370578,584402.7692307692
0.004121494959170665,584455.1538461538
0.004221078699219889,584513.3589743589
0.004300738551692217,581984.7692307692
0.004390348301292854,576886.1538461539
0.004479950021705976,584664.6923076924
0.0045794980736328,584722.8974358975
0.004659129380723104,584769.4615384615
0.004748707022203849,589974.4615384615
0.004838276640249235,597756.9230769231
0.004927838236296666,605540.7692307692
0.005017391811783159,621057.0000000001
0.005106937368144686,636576.0
0.005196474906817492,652097.7692307692
0.005276057100343781,672771.0
0.005365579498410128,693454.4102564103
0.005455093882934326,719297.7692307692
0.00554460025535046,747724.1025641026
0.005634098617092891,770998.3333333333
0.005723588969595598,799434.358974359
0.005813071314291509,827875.4615384616
0.005912486751602471,864068.076923077
0.006001952195634335,895099.8461538462
0.006081470315867954,923548.205128205
0.006170920643663582,957170.4871794872
0.006260362970813945,988218.5641025641
0.006349797298749664,1016691.7435897436
0.006439223628901641,1047750.6666666666
0.0065286419627003925,1083976.9230769232
0.0066180523015753915,1120209.641025641
0.006707454646956389,1153867.4615384615
0.006796849000272751,1187531.2820512822
0.006886235362952801,1223782.923076923
0.006975613736425138,1260041.0256410255
0.007055054473677037,1296292.717948718
0.007154346521458501,1332576.6153846155
0.007243700935874374,1371436.8461538462
0.007333047366792006,1407721.0256410257
0.007422385815638084,1446594.8717948718
0.007501791070322612,1485460.8974358977
0.007591114445813035,1529515.4871794872
0.007690353284006152,1573593.5384615383
0.007769737264360694,1612480.0
0.007859036710267287,1653973.3333333333
0.007948328182495103,1698058.6153846157
0.008037611682467534,1744736.5384615385
0.008126887211608256,1788837.7435897437
0.008216154771340564,1832946.7948717952
0.008305414363086707,1879649.1794871797
0.008394665988269219,1923774.153846154
0.00848390964831025,1967906.9743589745
0.00857314534463091,2012047.641025641
0.00865245927913943,2058762.153846154
0.008741679936754785,2108091.5384615385
0.008830892634754553,2154842.846153846
0.008920097374559023,2206776.6153846155
0.009009294157587446,2256132.307692308
0.009098482985259353,2302909.2307692305
0.009187663858993896,2352282.230769231
0.009276836780209186,2404252.0000000005
0.009366001750323616,2458819.2307692305
0.009465064615698933,2516009.5384615385
0.00953440278292086,2560191.333333333
0.009623544791151383,2614786.4102564105
0.009712678853792336,2666802.051282051
0.009801804972260257,2718826.923076923
0.009890923147971308,2770861.0256410255
0.009950330853168092,2796923.076923077
0.010049335853001438,2874900.0
0.010148331051815136,2926989.7435897435
0.010247316451549499,2979089.743589744
0.010346292054144267,3057107.692307692
0.010445257861538604,3109230.769230769
0.010544213875671097,3161364.1025641025
0.01064316009847976,3239423.0769230765
0.01064316009847976,3291253.846153846
0.010742096531902029,3343415.3846153845
0.010841023177874769,3421507.692307692
0.010939940038334263,3473692.3076923075
0.011038847115216448,3551812.820512821
0.011137744410456021,3604020.512820513
0.011236631925987768,3682169.230769231
0.011335509663745679,3734400.0000000005
0.01143437762566317,3812576.9230769235
0.01143437762566317,3864448.717948718
0.011533235813673085,3942646.153846154
0.011632084229707696,3994917.948717949
0.011730922875698699,4073143.5897435895
0.011829751753577221,4125438.4615384615
0.011928570865273812,4203692.307692308
